Week,Business Loans
2019-01-06,11
2019-01-13,11
2019-01-20,11
2019-01-27,11
2019-02-03,11
2019-02-10,11
2019-02-17,10
2019-02-24,10
2019-03-03,11
2019-03-10,11
2019-03-17,11
2019-03-24,11
2019-03-31,13
2019-04-07,12
2019-04-14,13
2019-04-21,12
2019-04-28,13
2019-05-05,13
2019-05-12,12
2019-05-19,12
2019-05-26,13
2019-06-02,13
2019-06-09,12
2019-06-16,11
2019-06-23,12
2019-06-30,13
2019-07-07,12
2019-07-14,12
2019-07-21,13
2019-07-28,12
2019-08-04,11
2019-08-11,12
2019-08-18,12
2019-08-25,12
2019-09-01,12
2019-09-08,12
2019-09-15,12
2019-09-22,12
2019-09-29,13
2019-10-06,11
2019-10-13,11
2019-10-20,12
2019-10-27,10
2019-11-03,12
2019-11-10,11
2019-11-17,11
2019-11-24,9
2019-12-01,11
2019-12-08,11
2019-12-15,12
2019-12-22,10
2019-12-29,12
2020-01-05,14
2020-01-12,12
2020-01-19,12
2020-01-26,12
2020-02-02,12
2020-02-09,12
2020-02-16,12
2020-02-23,12
2020-03-01,13
2020-03-08,22
2020-03-15,53
2020-03-22,91
2020-03-29,100
2020-04-05,53
2020-04-12,56
2020-04-19,60
2020-04-26,35
2020-05-03,26
2020-05-10,22
2020-05-17,21
2020-05-24,18
2020-05-31,18
2020-06-07,22
2020-06-14,24
2020-06-21,26
2020-06-28,30
2020-07-05,38
2020-07-12,32
2020-07-19,26
2020-07-26,26
2020-08-02,25
2020-08-09,22
2020-08-16,22
2020-08-23,19
2020-08-30,20
2020-09-06,18
2020-09-13,18
2020-09-20,17
2020-09-27,19
2020-10-04,19
2020-10-11,19
2020-10-18,19
2020-10-25,18
2020-11-01,14
2020-11-08,17
2020-11-15,18
2020-11-22,14
2020-11-29,17
2020-12-06,18
2020-12-13,17
2020-12-20,17
2020-12-27,18
2021-01-03,21
2021-01-10,20
2021-01-17,19
2021-01-24,19
2021-01-31,18
2021-02-07,17
2021-02-14,16
2021-02-21,20
2021-02-28,19
2021-03-07,18
2021-03-14,16
2021-03-21,17
2021-03-28,18
2021-04-04,19
2021-04-11,18
2021-04-18,20
2021-04-25,19
2021-05-02,21
2021-05-09,20
2021-05-16,18
2021-05-23,18
2021-05-30,16
2021-06-06,18
2021-06-13,18
2021-06-20,18
2021-06-27,18
2021-07-04,18
2021-07-11,17
2021-07-18,18
2021-07-25,19
2021-08-01,17
2021-08-08,17
2021-08-15,17
2021-08-22,16
2021-08-29,18
2021-09-05,18
2021-09-12,18
2021-09-19,17
2021-09-26,17
2021-10-03,17
2021-10-10,18
2021-10-17,20
2021-10-24,19
2021-10-31,18
2021-11-07,18
2021-11-14,17
2021-11-21,12
2021-11-28,17
2021-12-05,17
2021-12-12,14
2021-12-19,13
2021-12-26,13
2022-01-02,15
2022-01-09,16
2022-01-16,14
2022-01-23,16
2022-01-30,17
2022-02-06,17
2022-02-13,15
2022-02-20,16
2022-02-27,16
2022-03-06,17
2022-03-13,16
2022-03-20,16
2022-03-27,16
2022-04-03,18
2022-04-10,17
2022-04-17,18
2022-04-24,18
2022-05-01,18
2022-05-08,18
2022-05-15,15
2022-05-22,14
2022-05-29,15
2022-06-05,15
2022-06-12,16
2022-06-19,16
2022-06-26,15
2022-07-03,15
2022-07-10,16
2022-07-17,15
2022-07-24,16
2022-07-31,16
2022-08-07,15
2022-08-14,15
2022-08-21,18
2022-08-28,16
2022-09-04,15
2022-09-11,14
2022-09-18,15
2022-09-25,15
2022-10-02,15
2022-10-09,15
2022-10-16,15
2022-10-23,14
2022-10-30,14
2022-11-06,13
2022-11-13,14
2022-11-20,11
2022-11-27,15
2022-12-04,15
2022-12-11,13
2022-12-18,11
2022-12-25,11
2023-01-01,14
2023-01-08,15
2023-01-15,14
2023-01-22,15
2023-01-29,15
2023-02-05,15
2023-02-12,15
2023-02-19,14
2023-02-26,15
2023-03-05,16
2023-03-12,15
2023-03-19,15
2023-03-26,14
2023-04-02,15
2023-04-09,16
2023-04-16,16
2023-04-23,16
2023-04-30,16
2023-05-07,16
2023-05-14,16
2023-05-21,15
2023-05-28,15
2023-06-04,15
2023-06-11,15
2023-06-18,15
2023-06-25,15
2023-07-02,15
2023-07-09,15
2023-07-16,13
2023-07-23,15
2023-07-30,15
2023-08-06,15
2023-08-13,14
2023-08-20,14
2023-08-27,14
2023-09-03,15
2023-09-10,13
2023-09-17,13
2023-09-24,14
2023-10-01,13
2023-10-08,13
2023-10-15,13
2023-10-22,13
2023-10-29,13
2023-11-05,13
2023-11-12,13
2023-11-19,11
2023-11-26,13
2023-12-03,14
2023-12-10,13
2023-12-17,11
2023-12-24,11
2023-12-31,12
2024-01-07,13
